p_E,p_F,objective,beta1,beta2,beta3,beta4,beta5,phi1,phi2,phi3,phi4,phi5,lambda_A1,lambda_A2,lambda_A3,lambda_A4,lambda_A5,sigma_A1,sigma_A2,sigma_A3,sigma_A4,sigma_A5,lambda_C1,lambda_C2,lambda_C3,lambda_C4,lambda_C5,sigma_C1,sigma_C2,sigma_C3,sigma_C4,sigma_C5
0.1,0.1,-2560046.5197457299,0.36281614550863261,0.71552968161200547,0.065650933060075911,0.38674803330537966,0.22556111556764386,0.0,0.0,19.554420305212261,0.0,0.0,6803859.1490319958,2073432.2654437078,3230968.0609001755,1348722.2484347369,4254926.876877524,2893710.9216543636,1655028.7349247243,2957913.6835839171,245880.1766381484,826633.70881231758,1170570.9329274525,1680158.5536501959,8588023.9470985066,4609663.3421396185,4950593.4718100894,135.7498256052973,981.10064237187078,321.17782205352637,875.24890835810118,870.1581030554288
0.1,0.2,-6064450.8357622493,0.36803263835249161,0.0,0.0,0.0,0.0,0.0,0.0,19.329263523104601,0.0,0.0,7326023.3903975487,1181601.0184496073,5545470.0518357744,2691391.3023783201,8465697.3942478728,2573632.3314469024,349471.46410844475,1337724.9619083137,1827518.9462448326,1592781.8317361304,1165567.1698935297,1136639.4420405435,11163738.618398368,2621162.5692899805,4950593.4718100894,457.20020586452455,258.98993603264057,22.213610095078185,106.85587241990687,674.87023474390571
0.1,0.5,-15669911.099119322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9720534.7742250524,3289321.1356393062,8072138.9108129442,5004428.4032576252,18125344.554496285,2672216.4435781743,1453782.2909211204,2718830.1876173862,980018.59281345701,2496255.6059346246,662572.14956228097,1050166.3180885399,9363419.7244930845,4955229.116141838,4134442.3006702964,139.73892932392599,311.73903522229313,97.625018771819015,790.49752777307503,213.08998545339625
0.1,1.0,-31859151.523277722,0.48095289838753352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.356397665978875,0.0,3654460.7029847899,4201462.7771836091,8072138.9108129442,7731615.1202749144,25117739.036323249,287667.4419743648,1992436.2729102452,800932.60114672524,2939203.6372373425,2282508.5841110479,765019.88971106755,1490500.7828949196,9949792.6570420563,4462972.8894576132,4950593.4718100894,183.43194755110929,552.15686288580355,664.04977886376787,934.48618735519506,501.61139834880282
0.1,2.0,-64137378.9293347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16200178.441618744,4284734.2670956152,8072138.9108129442,7731615.1202749144,26170196.078431372,2523410.5510434024,192050.62724897059,2943089.321376814,1437858.9996293073,1745654.3261826343,1214201.2939347259,1425483.8620557706,10839596.697534654,3668793.271193224,4291475.7207302069,498.96921367799172,693.16032172472262,420.67871260996645,528.137134671735,189.64345297266951
0.1,5.0,-160096849.83060887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1332344.490766478,1160412.6837622449,2926022.5458181691,1812196.5550967932,2023995.3893805549,918628.77090353018,1550740.6065379565,6206741.1493209451,3597807.4319550917,3688524.94608224,307.8770894072984,830.39636674491317,45.32413058886732,236.7105837202601,123.0327307735671
0.1,10.0,-320548712.44996756,0.0,0.0,0.0,0.0,0.0,26.285931653546868,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1827455.0126420187,2126962.4512394932,2076906.9057065013,1802047.1996604982,2615391.5265880562,1913567.7941204328,1420042.0490380826,3379949.7005036464,4596166.3104123492,4611021.4686835259,988.84482841516262,509.15634550337762,43.388840446792422,820.0543429045548,209.52203037467393
0.2,0.1,-2623899.8131780643,0.014843058858006446,0.35861943548734104,0.0,0.55650241185824845,0.2149634565582107,0.0,0.0,0.0,0.0,0.0,2713716.4843483935,719945.86156895384,2844170.8887379817,3524581.5479260562,9006911.1922538187,460718.34135462262,2295782.5285159503,1605579.2058448172,1101037.4447715122,2379492.0132958069,1624578.3412123022,1585126.4650728351,10015626.307284497,2958726.7386745098,4950593.4718100894,965.80954620099044,136.15595717804891,677.51284081922813,329.45898511810674,728.61323008083059
0.2,0.2,-5738904.7907945886,0.0,0.0,0.0,0.0,0.0,126.58983905566856,0.0,0.0,0.0,0.0,2873467.6613031882,1817365.7998227831,4453498.6163668875,3303475.0648341696,13257828.59367536,615934.64707227529,2745166.9420595909,2183823.8914316264,511524.0024833405,1972137.2772953992,1253293.7674850281,1162583.5417007564,11403706.228476666,3902543.7204820965,4950593.4718100894,516.6940516270904,405.15945834675472,732.90226893666818,644.62717673917462,808.99809950943268
0.2,0.5,-15755560.560195286,0.083753094885750751,0.0,0.0,0.0,0.0,166.85828541085357,0.0,0.0,0.0,0.0,4246703.9947376978,1476372.6502835527,8072138.9108129442,3150858.8445811165,8618235.9138399735,1527197.2738802317,590178.64487089287,2654967.4148063096,400715.52075175365,2795980.496325158,1433188.9924441113,2310935.2912272145,6292706.6381625012,3631913.3486550259,4950593.4718100894,879.29867505158825,461.93451487080495,194.01644659936341,173.20648021260956,515.30100568291368
0.2,1.0,-31404556.024952359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.882550926355179,0.0,6907181.2100465279,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2002375.5865621867,2814714.5542456685,1923221.7099463507,2821109.2530380348,2414285.0384537335,1164864.7387076549,1805211.2532450634,7404506.0372268315,3872935.1317869928,4950593.4718100894,517.41284317758993,535.31923762522956,319.77500610271858,345.17247042662956,493.94870384351265
0.2,2.0,-63545318.754694209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,267.83834528032457,13513633.499371061,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1867718.8406637111,2213704.0005881377,2936789.8516222094,1693347.5741636811,1698174.4384788428,1658543.4694632592,1132131.9706147069,10817353.535432504,3803792.7006260236,2617329.5989703219,946.05074889694299,389.00819915835439,715.71891549895099,613.45929900385374,58.82014007089839
0.2,5.0,-160326204.10001442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15444956.931401761,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,395076.6064231015,1897400.9396562094,2400477.1639664872,1361683.5810255855,2861198.7975161835,1200616.3602119631,1786234.1718775157,10084141.567089954,4650452.7390053095,4752249.646171567,537.97143550688497,625.60117217591005,252.41327040974119,977.27696182883949,294.12840065825509
0.2,10.0,-321799820.36583644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1385355.3222148914,1223486.6969648723,2153555.3798323451,2884016.7735348893,636311.66029395326,2858439.8976982096,1465453.2121387757,8189601.4570100419,3417653.0923261777,4950593.4718100894,680.33360265598048,40.892498277491612,379.4419631126384,253.96547621653869,652.5361563019195
0.5,0.1,-14043872.879542366,1.0,0.0,1.0,1.0,1.0,0.0,0.0,22677370.146197971,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,647651.96416956792,1137877.0473852057,7619.9863335636446,385800.51612501754,1085404.3076546164,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,433.326054453403,683.82792006608759,247.00039993265673,701.67989779721484,897.62150062463797
0.5,0.2,-6056774.3506548498,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,2054852.2012360734,1316545.7427800321,1332021.4532481378,2640768.192779419,1592815.8917531488,648169.320511378,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,470.75349955578866,70.230901766719569,703.21402443255386,405.41389710915809,518.55320341646802
0.5,0.5,5872469.7844517902,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1885057.1651038937,489137.59516501019,283036.59829391661,1449763.387738487,2061860.6394586437,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,534.70624311933022,628.46828930536958,228112.7600772485,228250.38362789259,228137.5903785807
0.5,1.0,-32721662.246064462,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1665722.8269799347,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2922784.5228208844,1822304.0014640945,1855800.505836484,1873103.8133053042,2723796.9339949754,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,260.86396673181144,323.54836625988099,516.73099896556528,352.02959045793119,257.98103645082693
0.5,2.0,-66028379.510345504,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,588542.15787334775,2220834.4122444475,610394.69021660113,2771328.6020467407,839942.40469971939,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,500.92861212866757,307.35044430811314,336.0211805247942,639.22961521334207,783.09265103098608
0.5,5.0,-170636978.71167427,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,3840916.4264436662,8072138.9108129442,7731615.1202749144,26170196.078431372,1159522.2576590185,453942.69926602626,19987.732779628423,768398.02931875107,2756387.26497787,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,976.0512219779431,708.9814019356146,138.30333525341265,662.94332662133309,537.68928329092171
0.5,10.0,-358035760.05860025,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2732242.4396645911,1315708.2527867614,961365.52192333248,500223.12905911164,2889549.362869828,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,540.57818835492844,689.192584461038,354.46126320903841,231.04965432258686,620.33879795980954
1.0,0.1,-2003017739.3892252,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1000000000.0,0.0,1000000000.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2771522.0420226478,2791108.7464479483,1405328.6316588495,1065383.1003734067,337621.065854382,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,446.47879712281707,953.09896086262961,123.74210919746019,253.12818682522513,116.35272030394997
1.0,0.2,-6026528.7177539505,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,57269.875395779767,8072138.9108129442,7731615.1202749144,26170196.078431372,2995030.6760740136,1805060.1733027457,1458381.7137230509,1703373.8674260883,2859213.8488327446,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,770.264441254144,973.38775331615852,653.98394395955427,158.13701458677596,951.43177770019736
1.0,0.5,-1012388772.0649407,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1000000000.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2974291.0024624793,400582.88911358075,261020.42608038423,325836.28670860967,824820.38827633159,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,28285.092926099118,981.3011998261909,489.26013348357822,918.13168467271805,27646.129008857093
1.0,1.0,-38785442.417802468,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3197619.475031388,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,890270.09961367061,2750288.0435497183,470808.86099344079,269547.82111594977,2750300.1964301844,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,621.21228803376084,98.392111820311484,31.914805383143552,71.608603865814345,89.427063193886084
1.0,2.0,-69834786.025812179,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1063073.2024548715,2415550.7878032755,1701097.3208109431,2768144.4978834712,2090591.8228077805,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,18.582090263609004,512.55979944416526,929.79075180711118,544.0009495424149,602.52655336213775
1.0,5.0,-163091694.56704766,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2643656.0887028077,775388.41248917195,2585382.0640343716,2352698.3771965946,920325.07563469361,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,774.5448141009831,843.20844511907035,65.259927305621886,956.25180513404905,965.6734354101269
1.0,10.0,-339102681.41902459,1.0,0.0,0.0,1.0,0.20702284456637482,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,448037.20315728686,26170196.078431372,2731858.0144144557,1263534.1187827538,541754.54169355286,1244207.6013377951,1567155.2245108322,2858439.8976982096,3143875.3074453939,387354.657825061,2007244.933622092,2572623.8696275926,269.59296525378204,787.66571330328009,992.13322393200599,681.3899062820816,371.79477320967601
2.0,0.1,-2660459.982009944,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2242652.1806382635,922252.48275112105,288212.23095285275,2265402.0383186643,2608872.6917443285,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,887.08579835531975,777.90286190181939,671.18116927961307,425.25739691798287,981.4269190205672
2.0,0.2,-6517263.7161346525,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2238461.7124124998,1854916.609639019,56169.680938641941,1672187.5636555427,1099504.6184026324,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,653.26322720801056,7.3958896746823424,877.15719425802138,607.66292806009756,96.661008273456403
2.0,0.5,-17104624.663323458,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,506058.20419409999,329237.84978677984,2944364.7274335683,2886384.0554527887,2999982.6528852256,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,198.61475943411028,285.53472665775996,395.45969623624524,777.06275726473928,977.75052972874141
2.0,1.0,-1960315036.6741507,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1490649.7962852044,2531590.4437167528,3083014.2271729144,1742183.8196386169,2837425.4507088671,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,736315.55899406597,736297.64213845262,736555.53845681297,735819.46155375196,736412.3347797395
2.0,2.0,-62265174.470898122,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1806154.941302418,2674780.6475899718,1752157.1097131527,2185510.7270627967,2538385.189514963,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,21564.421034980078,21290.365216523453,21766.136595858145,21923.266398013213,21681.345561709353
2.0,5.0,-178626698.9181813,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,83266.518791710987,2684078.5270141335,846312.87878630811,1273378.7803114606,1713825.2176153259,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,312.11750385115892,413.06025391281867,725.38092801167079,383.11050760653598,652.3948878375287
2.0,10.0,-336698473.61442482,0.080743572137237596,1.0,0.19244132786922016,0.0,0.79852555364426447,0.0,0.0,0.0,0.0,0.0,7546777.2210919205,1864.4719698144311,8072138.9108129442,7731615.1202749144,26170196.078431372,1135798.1469763634,2240330.7742250329,1198779.583948202,1451975.3400871323,585487.19167221244,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,27.317698542754698,884.01619516750509,9.1161095587802805,664.58404286555276,881.85432999600619
5.0,0.1,-3306949.7902377737,0.96147996447246697,0.74616982936533693,1.0,0.73180491981492946,0.48738408366304464,0.0,0.0,0.0,0.0,0.0,1842775.4904033446,257892.16117253562,451616.20399584877,4236639.96091408,3050488.6875061584,1503319.1100885551,541786.51176361577,1450366.6588674462,1888837.6903325019,2280861.3198726415,1769189.193924898,464634.54258963879,13030189.409355121,1158976.7475321242,223581.02969457573,129.20886446488751,965.13465509244907,19.400916357427139,382.38462483908302,381.47479794488083
5.0,0.2,-799714965.59541738,1.0,1.0,1.0,1.0,1.0,0.0,0.0,158653552.30835122,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1829769.9989956834,378045.80326817528,2318157.7078447314,2872302.8739279229,2745561.0286759515,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,116.3961281464379,267.18329869765631,600.48226854047334,499.41787510174669,731.7688728128519
5.0,0.5,-5016594670.7100306,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2272710.1923028384,1960957.0146701583,1334880.1493642631,2502240.0627853745,1782222.7992569911,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,673.24068679180891,126.37022841842418,470.79906835284413,497.65567074468322,622.68889298181443
5.0,1.0,-151217973.58843303,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,23246589.851623867,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1445043.2203133428,2696054.2987946253,1981946.4588306288,135171.26122743706,1694798.4664814321,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,917.34991280658528,617.07268600497582,77.284879948763745,887.03811051065304,950.86347625597227
5.0,2.0,-69919414.194957569,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,5517.6223512727502,7731615.1202749144,26170196.078431372,1825450.395968514,2307671.2272343682,475375.51632694365,1294992.0766587497,1389693.7556127866,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,611.00721032735828,521.7534624857667,587.30635107502405,676.0191007154616,278.1250028723739
5.0,5.0,-168376894.81128392,1.0,0.4613168405488362,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,23476.241485335784,1461001.0868724417,998994.49903268227,491833.07951443276,1341680.2659389442,2445066.0332079181,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,152403.91170982301,987.17191234710094,897.26973416690123,561.4594742673944,650.00013952561301,756.78799828911974
5.0,10.0,-334763838.94587201,0.16379319513142465,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,1955.0430359341851,8072138.9108129442,7731615.1202749144,1513606.5619970807,2210423.3526022285,485075.34668177197,469907.27843213652,1213408.8371371201,1633862.0600542615,2858439.8976982096,1792474.674968353,16738788.870703764,5226248.5481997672,4950593.4718100894,856.42729685947654,299.04780642515163,519.70593272822532,959.10704247313924,465.03251516147412
10.0,0.1,-10002903772.268473,0.55476387991860465,1.0,1.0,1.0,1.0,1000000000.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,690892.34840918821,2756271.6051769429,2645163.927276562,2685465.833735757,456700.49265479628,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,198.13043411126498,390.17390897957404,124.68774438672526,796.77243086475846,593.22815257778564
10.0,0.2,-6128181.1915245038,0.059360003242817025,0.69006864671228407,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8624778.9271481745,111915.11573791721,2384465.939131334,7731615.1202749144,3493274.6670373394,445311.60751079745,414797.6540184429,2478571.3675658121,2207540.924234116,2259427.0998286698,2126957.7402956262,123211.99661284953,9941313.5366865657,5226248.5481997672,2945001.1487134546,939.13404993393067,885.83226478979964,791.50059098394127,335.72585764365294,193.99087050949646
10.0,0.5,-17132983.046852104,0.4571010653815662,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2113375.0551802698,1419101.84629592,2367653.7943585296,744387.61587363028,1799170.6497948752,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,807.25700747532881,209.62244200939296,205.28460691939176,482.70520204166644,753.13352193055107
10.0,1.0,-10032512636.637678,0.79995729176555563,0.0,0.0,0.5014112732581798,0.014343675546262181,0.0,0.0,0.0,1000000000.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,2075599.8470708218,2504654.1319470126,1884398.0752060676,300996.28416297375,643240.02686829364,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,770.23796537742294,617.61122685309488,606.09192548994224,137.62058888238394,255.01882426409117
10.0,2.0,-710649141.0942148,0.27948413223269003,1.0,0.0,1.0,1.0,0.0,64305430.790383615,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,606438.14609549253,2292917.6465313043,1915889.6607063303,2426686.4746803171,2318385.9808909073,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,923.04529239804037,485.67844182245335,262.45242254765009,446.33840177789926,780.17849982132213
10.0,5.0,-162738829.93802926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,7214553.9062850308,7731615.1202749144,26170196.078431372,2356568.3101435872,719690.38490715041,1106660.4152832492,1726856.0909093085,1021413.611932838,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,779.46732521212687,44.283342191825511,96.460454151561251,222.85585321291904,813.41568472722577
10.0,10.0,-326797526.36546344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16557777.777777778,4437676.6091051809,8072138.9108129442,7731615.1202749144,26170196.078431372,1512730.9561284771,1347802.55847655,962821.96469781047,1210527.4926687805,940953.7023831011,2858439.8976982096,3451526.2515262514,16738788.870703764,5226248.5481997672,4950593.4718100894,85.42951237956764,431.44264959777598,381.04645736634444,659.07935343597615,917.34864089163568
